Module Name,Course Name,Number of Students Enrolled,Lecturer Name,Room Assigned
Pop Art and Op Art,Modern Art Movements,10,Manjeevan Hirayama,Wilde Auditorium
Popular Culture and Media Studies,Introduction to Cultural Studies,10,Sibby Marlen,W.B. Yeats Poetry Room
Population Dynamics and Ecology,Principles of Ecology,10,Wyllow Bessett,Paul Durcan Poetry Corner
Population Genetics and Biology,Principles of Genetics,10,Rashon Gothberg,Synge Seminar Hall
Population Geography and Migration,Introduction to Human Geography,10,Yakup Corradetti,Heaney Poetry Corner
Postcolonial Literature and Global Voices,Contemporary Literature,10,Olanrewaju Arthurton,Brian Friel Theater
Postcolonial Perspectives,Modern Political Theory,10,Aayden-James Brinkmeyer,Banville Biology Lab
Postmodernism and Contemporary Art,Modern Art Movements,10,Manjeevan Hirayama,Beckett Theater
Predictive Analytics and Forecasting,Introduction to Business Analytics,10,James-Alan Semanko,Flann O'Brien Lecture Hall
Prehistoric Archaeology,Introduction to Archaeology,10,Sritha Staben,Paul Durcan Poetry Corner
Prenatal Development,Developmental Psychology,10,Paupi-Anais Tidemann,Shaw Study Room
Probability Distributions,Introduction to Probability and Statistics,10,Slevin Tardibuono,Moore Music Room
Problem Identification and Definition,Creative Problem Solving,10,Saulius Soike,Kavanagh Classroom
Problem Solving and Decision Making,Introduction to Cognitive Psychology,10,Tsion Kirckof,Sean O'Faolain Seminar Room
Process Design and Analysis,Introduction to Operations Management,10,Jaiel Bemus,Moore Music Room
Prospect Theory and Risk Perception,Introduction to Behavioral Economics,10,Khallia Blackmore,John Banville Art Studio
Psychological Aspects of Recovery,Introduction to Health Psychology,10,Donal Angel,Thomas Kinsella Poetry Corner
Public Health History and Concepts,Introduction to Public Health,10,Ernestine Heidman,Emma Donoghue Drama Studio
Public Key Cryptography and RSA,Introduction to Cryptography,10,Joe-Alexander Dhawan,Bowen Library Study Area
Public Policy Analysis and Governance,Introduction to Political Science,10,Asir Qaqish,Beckett Theater
Quality Management and Lean Operations,Introduction to Operations Management,10,Lyna Didlake,Banville Biology Lab
Quantum Mechanics in Everyday Life,Introduction to Quantum Mechanics,10,Chanaide Catic,Online
Quantum Physics Fundamentals,Introduction to Quantum Mechanics,10,Janael Vandersnick,Mary Lavin Seminar Hall
Quantum States and Wavefunctions,Introduction to Quantum Mechanics,10,Chanaide Catic,John Banville Art Studio
Reaction Mechanisms,Organic Chemistry Fundamentals,10,Sandis Acy,W.B. Yeats Poetry Room
Recording Transactions,Financial Accounting Basics,10,Briseyda Stevinson,Wilde Auditorium
Recruitment and Selection Processes,Introduction to Human Resource Management,10,Berry Chopra,George Bernard Shaw Debate Hall
Regression Analysis and Correlation,Introduction to Probability and Statistics,10,Wise Bendik,Banville Biology Lab
Religion and Society,World Religions and Cultures,10,Myleigh-Mo Manly,Sean O'Faolain Seminar Room
Religious Practices and Rituals,World Religions and Cultures,10,Hatem Townsel,Frank McCourt Drama Studio
Renewable Energy Technologies,Introduction to Sustainable Energy,10,Dakota-Rose Stegmaier,Mary Lavin Seminar Hall
Retirement Planning and Wealth Management,Introduction to Financial Planning,10,Shmookh Ehnot,Wilde Auditorium
Robot Control and Motion Planning,Introduction to Robotics Programming,10,Degmo Awe,Brian Friel Theater
Robot Control Systems,Introduction to Robotics,10,Thallon Mcniel,John Banville Art Studio
Robot Control Systems,Introduction to Robotics Engineering,10,Riggin Crespin,John Banville Art Studio
Robot Kinematics and Dynamics,Introduction to Robotics Engineering,10,Jennarae Nared,Louis MacNeice Music Room
Robot Kinematics and Dynamics,Introduction to Robotics Programming,10,Aviela Choates,Frank McCourt Drama Studio
Robot Operating Systems,Introduction to Robotics Programming,10,Aviela Choates,Bram Stoker Gothic Library
Robot Perception and Localization,Introduction to Robotics Engineering,10,Riggin Crespin,Online
Robot Perception and Localization,Introduction to Robotics Programming,10,Degmo Awe,Sean O'Faolain Seminar Room
Robot Programming and Simulation,Introduction to Robotics,10,Thallon Mcniel,Online
Robotic Kinematics,Introduction to Robotics,10,Yarielis Baraniak,Mary Lavin Seminar Hall
Robotics Fundamentals and Components,Introduction to Robotics Engineering,10,Jennarae Nared,Mary Lavin Seminar Hall
Screenwriting Fundamentals,The Art of Creative Writing,10,Abdoulmalik Tindol,Swift Lecture Theatre
Search and Optimization Algorithms,Introduction to Artificial Intelligence,10,Mykolas Lessner,Paul Durcan Poetry Corner
Search Engine Optimization,Introduction to Digital Marketing,10,Farin Timms,Brian Friel Theater
Sensors and Actuators,Introduction to Robotics,10,Yarielis Baraniak,Louis MacNeice Music Room
Sensory Systems and Perception,Introduction to Neuroscience,10,Hazely Shuping,Wilde Auditorium
Sequence Alignment and Analysis,Introduction to Bioinformatics,10,Leilanni Barbian,Louis MacNeice Music Room
Social and Emotional Development,Developmental Psychology,10,Daown Bearb,Swift Lecture Theatre
Social Behavior and Communication,Introduction to Animal Behavior,10,Kerhys Fensterer,Stoker Drama Studio
Social Equity and Economic Development,Introduction to Sustainable Development,10,Yudith Simm,Swift Lecture Theatre
Social Justice Movements and Advocacy,Human Rights and Social Justice,10,Mieszko Somppi,Paul Durcan Poetry Corner
Social Media Platforms Overview,Social Media Marketing Strategies,10,Angelo Vanstavern,Kavanagh Classroom
Social Stratification and Inequality,Introduction to Sociology,10,Logic Keeven,Heaney Poetry Corner
Social Welfare Policies and Services,Introduction to Social Work,10,Saivon Laribee,George Bernard Shaw Debate Hall
Social Work History and Profession,Introduction to Social Work,10,Saivon Laribee,Edna O'Brien Art Studio
Sociological Perspectives and Theories,Introduction to Sociology,10,Logic Keeven,Shaw Study Room
Sociology of Culture and Media,Introduction to Sociology,10,Zaniyah Dubry,Swift Lecture Theatre
Sociology of Gender and Sexuality,Introduction to Sociology,10,Zaniyah Dubry,Synge Seminar Hall
Solar Energy Technologies and Applications,Introduction to Renewable Energy,10,Chiburuoma Mcilhaney,Kavanagh Classroom
Solar System Exploration,Introduction to Astrophysics,10,Hanrui Terreros,Beckett Theater
Solar System Exploration,Introduction to Space Science,10,Almuthanna Ferlito,George Bernard Shaw Debate Hall
Solid Waste Management and Recycling,Introduction to Environmental Engineering,10,Surayah Bennefeld,Beckett Theater
Solution Generation and Prototyping,Creative Problem Solving,10,Shubhnamdeep Cobb,Flann O'Brien Lecture Hall
Song Arrangement,Music Theory and Composition,10,Naava Artis,Samuel Beckett Experimental Lab
Sorting and Searching Techniques,Data Structures and Algorithms,10,Jovoni Heiny,Colum McCann Conference Room
Space Technology and Exploration Missions,Introduction to Space Science,10,Delbert Motlow,Online
Speech Preparation and Organization,Public Speaking and Communication,10,Jaela Kuhfahl,Eavan Boland Writing Workshop
Statistical Inference,Introduction to Probability and Statistics,10,Wise Bendik,Flann O'Brien Lecture Hall
Stellar Evolution,Introduction to Astrophysics,10,Kaceton Poke,Yeats Lecture Hall
Stereochemistry and Isomerism,Organic Chemistry Fundamentals,10,Jaylenn Pastoriza,George Bernard Shaw Debate Hall
Storytelling and Narrative Design,Introduction to Game Design,10,Junhee Lauderman,Brendan Behan Lecture Theatre
Stress and Coping Mechanisms,Introduction to Health Psychology,10,Aksh Vernet,Dermot Healy Study Area
Structural Bioinformatics Techniques,Introduction to Bioinformatics,10,Julina Strianese,Online
Supervised Learning Techniques,Introduction to Machine Learning,10,Dannielle Fixsen,Paul Durcan Poetry Corner
Supply and Demand Analysis,Principles of Microeconomics,10,Yehuda Yielding,O'Casey Conference Room
Surrealism and Dadaism,Modern Art Movements,10,Maxence Kobin,Joyce Seminar Room
Sustainable Cities and Smart Growth,Introduction to Urban Planning,10,Lizandra Mooneyhan,Samuel Beckett Experimental Lab
Sustainable Development Goals,Introduction to Sustainable Development,10,Aidan-Joseph Stanphill,Shaw Study Room
Sustainable Development Goals (SDGs),Introduction to Development Studies,10,Finlee Eagan,Online
Sustainable Development Practices,Global Environmental Issues,10,Elthaea Gielen,John McGahern Classroom
Sustainable Development Practices,Environmental Science and Sustainability,10,Kenneth-Hugh Acquista,Jennifer Johnston Library Annex
Sustainable Energy Policy and Economics,Introduction to Sustainable Energy,10,Caytlynne Ganun,John Banville Art Studio
Sustainable Urban Planning and Design,Introduction to Sustainable Development,10,Yudith Simm,Synge Seminar Hall
Symmetric Encryption Algorithms,Introduction to Cryptography,10,Huxton Kaemmer,Stoker Drama Studio
System Design and Modeling Techniques,Introduction to Systems Engineering,10,Tiyon Marusa,Colum McCann Conference Room
System Integration and Validation,Introduction to Systems Engineering,10,Tiyon Marusa,Samuel Beckett Experimental Lab
System Requirements and Specification,Introduction to Systems Engineering,10,Karsin Lond,Roddy Doyle Creative Writing Corner
Systems and Engineering Principles,Introduction to Systems Engineering,10,Karsin Lond,Eavan Boland Writing Workshop
Tax Planning and Estate Planning,Introduction to Financial Planning,10,Shmookh Ehnot,Beckett Theater
Textiles and Materials,Introduction to Fashion Design,10,Alvi Geho,Colum McCann Conference Room
The Age of Enlightenment,Modern European History,10,Locklan Mull,Frank McCourt Drama Studio
The Renaissance and Reformation,Modern European History,10,Locklan Mull,Bram Stoker Gothic Library
The Rise of Nationalism,Modern European History,10,Katja Corkin,Brian Friel Theater
Theories of Development,Introduction to Development Studies,10,Israfil Maciak,Mary Lavin Seminar Hall
Theories of International Relations,Introduction to International Relations,10,Javan Litterini,Eavan Boland Writing Workshop
Training Algorithms: Backpropagation,Introduction to Artificial Neural Networks,10,Jermani Rininger,Bowen Library Study Area
Training and Development Strategies,Introduction to Human Resource Management,10,Mesake Bocock,W.B. Yeats Poetry Room
Transportation Planning and Infrastructure,Introduction to Urban Planning,10,Lizandra Mooneyhan,Colum McCann Conference Room
Trees and Graphs,Data Structures and Algorithms,10,Arabella-Rose Piekos,Roddy Doyle Creative Writing Corner
Typography and Layout Design,Introduction to Graphic Design,10,Ramiya Schoeck,Joyce Seminar Room
Unsupervised Learning and Clustering,Introduction to Machine Learning,10,Sibel Cignarella,Brendan Behan Lecture Theatre
Urban Design Principles and Strategies,Introduction to Urban Planning,10,Zikachimra Scheve,Roddy Doyle Creative Writing Corner
Urban Geography and Settlement Patterns,Introduction to Human Geography,10,Jac Kimura,Swift Lecture Theatre
Urbanization and Urban Development Patterns,Introduction to Urban Planning,10,Zikachimra Scheve,Eavan Boland Writing Workshop
Usability Engineering and User Experience,Introduction to Human Factors Engineering,10,Brok Shteyman,Swift Lecture Theatre
Usability Testing and Evaluation,Introduction to Human Computer Interaction,10,Shanzay Kalata,Wilde Auditorium
User Interface Design for Mobile Apps,Introduction to Mobile App Development,10,Cortney Vaitkus,Dermot Healy Study Area
User Interface Design Principles,Introduction to Human Computer Interaction,10,Elye Fitzharris,Yeats Lecture Hall
Verbal and Nonverbal Communication,Public Speaking and Communication,10,Jaela Kuhfahl,Roddy Doyle Creative Writing Corner
Virtual Reality and Augmented Reality,Introduction to Computer Graphics,10,Ado Pandy,Online
Water and Wastewater Treatment,Introduction to Environmental Engineering,10,Makalynn Fitzgearld,Joyce Seminar Room
Wave-Particle Duality,Introduction to Quantum Mechanics,10,Janael Vandersnick,Louis MacNeice Music Room
Weather Phenomena and Climate Patterns,Introduction to Atmospheric Science,10,Bruce Av,Louis MacNeice Music Room
Wind Energy: Generation and Integration,Introduction to Renewable Energy,10,Chiburuoma Mcilhaney,Moore Music Room
World Wars and the Cold War Era,Modern European History,10,Katja Corkin,Sean O'Faolain Seminar Room
